timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-08-27T11:42:49.171521,extra_long_programming_code_heavy_17947t.txt,1,17736,355.5445158481598,True,511,1.437232124874708,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T11:43:57.679700,extra_long_programming_code_heavy_17947t.txt,2,17736,66.50096893310547,True,511,7.684098565752089,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T11:45:12.063064,extra_long_programming_code_heavy_17947t.txt,3,17736,72.37654185295105,True,511,7.060298639830147,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T11:46:27.207500,extra_long_programming_code_heavy_17947t.txt,4,17736,73.13837957382202,True,511,6.98675583158393,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T11:47:39.838415,extra_long_programming_code_heavy_17947t.txt,5,17736,70.62075710296631,True,511,7.235832933013632,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T12:04:24.920517,extra_long_repo_prompt_44396t.txt,1,36029,1000,False,0,0,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T12:08:39.136684,extra_long_repo_prompt_44396t.txt,2,36029,252.19334888458252,True,0,0.0,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T12:08:46.923347,extra_long_repo_prompt_44396t.txt,3,36029,5.774384021759033,True,0,0.0,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T12:08:49.071168,extra_long_repo_prompt_44396t.txt,4,36029,0.13812804222106934,True,0,0.0,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T12:08:51.223504,extra_long_repo_prompt_44396t.txt,5,36029,0.14533209800720215,True,0,0.0,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T12:10:01.979735,long_architecture_enterprise_1235t.txt,1,1214,65.71283721923828,True,511,7.776258363265407,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T12:10:49.554879,long_architecture_enterprise_1235t.txt,2,1214,45.56952905654907,True,511,11.213633552496876,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T12:11:38.608079,long_architecture_enterprise_1235t.txt,3,1214,47.05247402191162,True,511,10.86021533664808,deepseek/deepseek-r1-0528-qwen3-8b,http://127.0.0.1:1234/v1/chat/completions,deepseek-r1-0528-qwen3-8b,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
