timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-08-06T23:12:31.742366,extra_long_programming_code_heavy_17947t.txt,1,17736,0.2528493404388428,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:12:33.913605,extra_long_programming_code_heavy_17947t.txt,2,17736,0.1705586910247802,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:12:36.096008,extra_long_programming_code_heavy_17947t.txt,3,17736,0.1814281940460205,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:12:38.276195,extra_long_programming_code_heavy_17947t.txt,4,17736,0.1792774200439453,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:12:40.456626,extra_long_programming_code_heavy_17947t.txt,5,17736,0.179368257522583,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:12:45.724293,extra_long_repo_prompt_44396t.txt,1,36029,0.2556972503662109,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:12:47.972538,extra_long_repo_prompt_44396t.txt,2,36029,0.2471129894256591,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:12:50.222956,extra_long_repo_prompt_44396t.txt,3,36029,0.249110460281372,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:12:52.461912,extra_long_repo_prompt_44396t.txt,4,36029,0.2377717494964599,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:12:54.711447,extra_long_repo_prompt_44396t.txt,5,36029,0.2482223510742187,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:15:08.605425,long_architecture_enterprise_1235t.txt,1,1214,128.89165043830872,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:17:10.350744,long_architecture_enterprise_1235t.txt,2,1214,119.74448251724245,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:19:12.396129,long_architecture_enterprise_1235t.txt,3,1214,120.04432773590088,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:21:14.304400,long_architecture_enterprise_1235t.txt,4,1214,119.90765404701231,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:23:16.143524,long_architecture_enterprise_1235t.txt,5,1214,119.83883142471312,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:25:26.802224,long_non_programming_analysis_1330t.txt,1,1312,125.65646862983704,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:27:24.971377,long_non_programming_analysis_1330t.txt,2,1312,116.16834664344788,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:29:22.948341,long_non_programming_analysis_1330t.txt,3,1312,115.97678089141846,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:31:20.910948,long_non_programming_analysis_1330t.txt,4,1312,115.9618468284607,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:33:18.655063,long_non_programming_analysis_1330t.txt,5,1312,115.74387288093568,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:35:03.442753,long_non_programming_summarize_1707t.txt,1,1703,99.7855224609375,True,2036,20.403761485510305,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:36:46.358435,long_non_programming_summarize_1707t.txt,2,1703,100.91528177261353,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:38:29.407249,long_non_programming_summarize_1707t.txt,3,1703,101.04830050468443,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:40:12.408790,long_non_programming_summarize_1707t.txt,4,1703,101.0012228488922,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:41:41.215110,long_non_programming_summarize_1707t.txt,5,1703,86.80534553527832,True,2032,23.408696635787027,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:43:49.997750,long_programming_debug_complex_1366t.txt,1,1366,123.77967882156372,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:45:45.729331,long_programming_debug_complex_1366t.txt,2,1366,113.7306547164917,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
2025-08-06T23:47:41.302794,long_programming_debug_complex_1366t.txt,3,1366,113.5725109577179,True,0,0.0,gpt-oss-120b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-120b,int4,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,0,AMD Radeon 890M,Linux,3
