timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-10-08T17:15:27.274342,extra_long_programming_code_heavy_17947t.txt,1,17736,0,False,0,0,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:15:29.275090,extra_long_programming_code_heavy_17947t.txt,2,17736,0,False,0,0,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:15:31.286328,extra_long_programming_code_heavy_17947t.txt,3,17736,0,False,0,0,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:15:33.292043,extra_long_programming_code_heavy_17947t.txt,4,17736,0,False,0,0,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:15:35.299339,extra_long_programming_code_heavy_17947t.txt,5,17736,0,False,0,0,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:15:40.324932,extra_long_repo_prompt_44396t.txt,1,36029,0,False,0,0,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:15:42.329789,extra_long_repo_prompt_44396t.txt,2,36029,0,False,0,0,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:15:44.331981,extra_long_repo_prompt_44396t.txt,3,36029,0,False,0,0,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:15:46.344223,extra_long_repo_prompt_44396t.txt,4,36029,0,False,0,0,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:15:48.354947,extra_long_repo_prompt_44396t.txt,5,36029,0,False,0,0,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:16:49.432276,long_architecture_enterprise_1235t.txt,1,1214,56.07071089744568,True,512,9.13132706550586,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:17:24.007587,long_architecture_enterprise_1235t.txt,2,1214,32.572792768478394,True,512,15.718639898003365,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:17:58.907063,long_architecture_enterprise_1235t.txt,3,1214,32.89520764350891,True,501,15.230182020111384,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:18:33.644954,long_architecture_enterprise_1235t.txt,4,1214,32.73695659637451,True,508,15.517630617387903,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:19:08.112868,long_architecture_enterprise_1235t.txt,5,1214,32.46652007102966,True,512,15.770091740040376,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:20:11.766295,long_non_programming_analysis_1330t.txt,1,1312,58.65036988258362,True,512,8.729697715888399,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:20:46.426655,long_non_programming_analysis_1330t.txt,2,1312,32.657790422439575,True,511,15.647108802832097,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:21:21.267634,long_non_programming_analysis_1330t.txt,3,1312,32.839245080947876,True,511,15.560650031399883,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:21:56.406889,long_non_programming_analysis_1330t.txt,4,1312,33.136088848114014,True,511,15.421252711575955,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:22:31.144706,long_non_programming_analysis_1330t.txt,5,1312,32.736201763153076,True,512,15.64017730903322,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:23:44.079428,long_non_programming_summarize_1707t.txt,1,1703,67.93226933479309,True,512,7.536918831265472,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:24:20.047996,long_non_programming_summarize_1707t.txt,2,1703,33.96758317947388,True,512,15.07319485448097,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:24:55.875042,long_non_programming_summarize_1707t.txt,3,1703,33.82474064826965,True,512,15.136849246653188,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:25:32.050245,long_non_programming_summarize_1707t.txt,4,1703,34.16925859451294,True,512,14.984229130514976,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:26:08.116465,long_non_programming_summarize_1707t.txt,5,1703,34.06373715400696,True,512,15.030646745692518,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:27:12.962333,long_programming_debug_complex_1366t.txt,1,1366,59.838783264160156,True,512,8.556323709654325,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:27:47.782701,long_programming_debug_complex_1366t.txt,2,1366,32.81940841674805,True,512,15.600524954579061,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:28:22.560571,long_programming_debug_complex_1366t.txt,3,1366,32.7742440700531,True,512,15.622023162628217,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:28:57.424165,long_programming_debug_complex_1366t.txt,4,1366,32.861504316329956,True,512,15.580540533732366,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:29:32.474667,long_programming_debug_complex_1366t.txt,5,1366,33.044952392578125,True,512,15.49404562359106,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
2025-10-08T17:31:03.040184,long_programming_full_project_2339t.txt,1,2336,85.55893015861511,True,497,5.8088617877599305,openai/gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Fedora 42,3
