timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-08-10T16:01:55.924518,extra_long_programming_code_heavy_17947t.txt,1,17736,77.81312680244446,True,508,6.528461467558472,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:02:12.905632,extra_long_programming_code_heavy_17947t.txt,2,17736,14.98035454750061,True,508,33.91107990062605,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:02:29.914755,extra_long_programming_code_heavy_17947t.txt,3,17736,15.008018732070923,True,508,33.848571824770254,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:02:46.915608,extra_long_programming_code_heavy_17947t.txt,4,17736,14.999741792678833,True,508,33.867249651453854,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:03:03.920344,extra_long_programming_code_heavy_17947t.txt,5,17736,15.003952026367188,True,508,33.85774621961377,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:03:09.190499,extra_long_repo_prompt_44396t.txt,1,36029,0.25911378860473633,True,0,0.0,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:03:11.436468,extra_long_repo_prompt_44396t.txt,2,36029,0.24439477920532227,True,0,0.0,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:03:13.680956,extra_long_repo_prompt_44396t.txt,3,36029,0.24335861206054688,True,0,0.0,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:03:15.934880,extra_long_repo_prompt_44396t.txt,4,36029,0.25273919105529785,True,0,0.0,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:03:18.176454,extra_long_repo_prompt_44396t.txt,5,36029,0.24020671844482422,True,0,0.0,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:03:34.366525,long_architecture_enterprise_1235t.txt,1,1214,11.188004970550537,True,508,45.405771747257496,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:03:45.061704,long_architecture_enterprise_1235t.txt,2,1214,8.69480299949646,True,501,57.62062694566102,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:03:55.757634,long_architecture_enterprise_1235t.txt,3,1214,8.695398092269897,True,501,57.616683524286586,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:04:06.443178,long_architecture_enterprise_1235t.txt,4,1214,8.68485975265503,True,501,57.686596475762364,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:04:17.137148,long_architecture_enterprise_1235t.txt,5,1214,8.693248271942139,True,501,57.630931997766666,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:04:33.485543,long_non_programming_analysis_1330t.txt,1,1312,11.346719741821289,True,501,44.15373001180544,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:04:44.218984,long_non_programming_analysis_1330t.txt,2,1312,8.732579708099365,True,501,57.37136295879766,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:04:54.954906,long_non_programming_analysis_1330t.txt,3,1312,8.735148429870605,True,501,57.35449191530468,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:05:05.675875,long_non_programming_analysis_1330t.txt,4,1312,8.720217227935791,True,508,58.25542950611236,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:05:16.384513,long_non_programming_analysis_1330t.txt,5,1312,8.708372592926025,True,501,57.530841113409835,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:05:33.738753,long_non_programming_summarize_1707t.txt,1,1703,12.352473974227905,True,501,40.55867683229142,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:05:44.619916,long_non_programming_summarize_1707t.txt,2,1703,8.880913257598877,True,501,56.41311715000973,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:05:55.568081,long_non_programming_summarize_1707t.txt,3,1703,8.947534322738647,True,501,55.993079426003774,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:06:06.488583,long_non_programming_summarize_1707t.txt,4,1703,8.920015573501587,True,501,56.16582122214059,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-10T16:06:17.409887,long_non_programming_summarize_1707t.txt,5,1703,8.920158624649048,True,501,56.16492049990997,gpt-oss-20b,http://127.0.0.1:1234/v1/chat/completions,gpt-oss-20b,mxfp4,vulkan,lmstudio,gmk_evox2_ai395,GMKTec,EVO X2,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
