timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-11-07T15:59:27.498550,extra_long_programming_code_heavy_17947t.txt,1,17736,203.00275588035583,True,511,2.5172072062961015,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:00:11.286177,extra_long_programming_code_heavy_17947t.txt,2,17736,41.78180193901062,True,511,12.230204928593377,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:00:55.126400,extra_long_programming_code_heavy_17947t.txt,3,17736,41.83377981185913,True,511,12.215009073962296,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:01:38.884479,extra_long_programming_code_heavy_17947t.txt,4,17736,41.75570726394653,True,511,12.237848032841653,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:02:22.447266,extra_long_programming_code_heavy_17947t.txt,5,17736,41.5513060092926,True,511,12.298049064588225,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:09:47.105378,extra_long_repo_prompt_44396t.txt,1,36029,439.61423683166504,True,511,1.1623827373808862,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:10:44.034738,extra_long_repo_prompt_44396t.txt,2,36029,54.92435812950134,True,511,9.303704538433708,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:11:41.015708,extra_long_repo_prompt_44396t.txt,3,36029,54.97939109802246,True,511,9.294391767434107,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:12:38.032375,extra_long_repo_prompt_44396t.txt,4,36029,55.00614309310913,True,511,9.28987148099128,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:12:48.468601,extra_long_repo_prompt_44396t.txt,5,36029,8.430817127227783,True,65,7.709810214015787,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:13:35.619018,long_architecture_enterprise_1235t.txt,1,1214,42.13898706436157,True,511,12.126537337490268,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:14:10.642152,long_architecture_enterprise_1235t.txt,2,1214,33.01718211174011,True,511,15.476790183687443,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:14:45.999026,long_architecture_enterprise_1235t.txt,3,1214,33.35176396369934,True,511,15.32152843718196,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:15:21.356951,long_architecture_enterprise_1235t.txt,4,1214,33.34758806228638,True,511,15.323447052469222,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:15:56.757583,long_architecture_enterprise_1235t.txt,5,1214,33.39627408981323,True,511,15.301108100435336,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:16:44.808261,long_non_programming_analysis_1330t.txt,1,1312,43.03654718399048,True,511,11.873629123065223,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:17:20.040072,long_non_programming_analysis_1330t.txt,2,1312,33.22127294540405,True,511,15.381710413077158,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:17:55.439751,long_non_programming_analysis_1330t.txt,3,1312,33.38933610916138,True,511,15.304287522500085,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
2025-11-07T16:18:30.866782,long_non_programming_analysis_1330t.txt,4,1312,33.426255226135254,True,511,15.287384020225524,mlx-community/Llama-3.3-70B-Instruct-4bit,http://127.0.0.1:1234/v1/chat/completions,Llama-3.3-70B-Instruct-4bit,int4,mlx,lmstudio,ms_m3ultra,Apple,Mac Studio,M3 Ultra,96,M3 Ultra,MacOS Sequoia,3
