timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-10-08T20:37:24.105654,extra_long_programming_code_heavy_17947t.txt,1,17736,0,False,0,0,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:37:26.106866,extra_long_programming_code_heavy_17947t.txt,2,17736,0,False,0,0,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:37:28.113165,extra_long_programming_code_heavy_17947t.txt,3,17736,0,False,0,0,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:37:30.119682,extra_long_programming_code_heavy_17947t.txt,4,17736,0,False,0,0,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:37:32.128478,extra_long_programming_code_heavy_17947t.txt,5,17736,0,False,0,0,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:37:37.151177,extra_long_repo_prompt_44396t.txt,1,36029,0,False,0,0,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:37:39.158461,extra_long_repo_prompt_44396t.txt,2,36029,0,False,0,0,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:37:41.164582,extra_long_repo_prompt_44396t.txt,3,36029,0,False,0,0,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:37:43.171339,extra_long_repo_prompt_44396t.txt,4,36029,0,False,0,0,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:37:45.179392,extra_long_repo_prompt_44396t.txt,5,36029,0,False,0,0,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:39:29.109329,long_architecture_enterprise_1235t.txt,1,1214,98.9294593334198,True,512,5.175404813185297,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:40:39.118287,long_architecture_enterprise_1235t.txt,2,1214,68.00699830055237,True,512,7.5286369461161975,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:41:49.175739,long_architecture_enterprise_1235t.txt,3,1214,68.051682472229,True,512,7.523693484124224,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:42:59.200681,long_architecture_enterprise_1235t.txt,4,1214,68.01876664161682,True,512,7.527334370787257,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:44:09.056692,long_architecture_enterprise_1235t.txt,5,1214,67.8536126613617,True,512,7.545655712618399,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:45:54.091535,long_non_programming_analysis_1330t.txt,1,1312,100.02979159355164,True,512,5.118475124694809,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:47:04.311792,long_non_programming_analysis_1330t.txt,2,1312,68.21769714355469,True,512,7.505383814445787,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:48:14.720646,long_non_programming_analysis_1330t.txt,3,1312,68.40800023078918,True,512,7.484504711037558,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:49:24.996019,long_non_programming_analysis_1330t.txt,4,1312,68.27202582359314,True,512,7.499411271652428,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:50:35.364357,long_non_programming_analysis_1330t.txt,5,1312,68.36711359024048,True,512,7.488980784952853,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:52:27.197297,long_non_programming_summarize_1707t.txt,1,1703,106.82903552055359,True,488,4.568046483075383,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:53:38.119448,long_non_programming_summarize_1707t.txt,2,1703,68.91973567008972,True,512,7.428931568322909,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:54:49.036494,long_non_programming_summarize_1707t.txt,3,1703,68.91064691543579,True,512,7.429911384060936,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:55:46.535220,long_non_programming_summarize_1707t.txt,4,1703,55.49716377258301,True,413,7.441821742321765,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:56:42.802403,long_non_programming_summarize_1707t.txt,5,1703,54.265708684921265,True,404,7.444848870319073,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:58:27.964734,long_programming_debug_complex_1366t.txt,1,1366,100.15602254867554,True,512,5.112024089726302,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T20:59:38.325666,long_programming_debug_complex_1366t.txt,2,1366,68.35881638526917,True,512,7.4898897768266846,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T21:00:48.628694,long_programming_debug_complex_1366t.txt,3,1366,68.2948362827301,True,512,7.496906470064572,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T21:01:59.010079,long_programming_debug_complex_1366t.txt,4,1366,68.37395453453064,True,512,7.488231498171231,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T21:03:09.163296,long_programming_debug_complex_1366t.txt,5,1366,68.15019965171814,True,512,7.512817315526264,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T21:05:20.090401,long_programming_full_project_2339t.txt,1,2336,125.92282795906067,True,509,4.042158266692384,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
2025-10-08T21:06:32.104278,long_programming_full_project_2339t.txt,2,2336,70.01244401931763,True,508,7.255852971792188,qwen2.5-coder-14b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen2.5-coder-14b-instruct,int4,vulkan,lmstudio,gmk_evot1_285H,GMKTec,EVO T1,Intel Core Ultra 9 285H,64,Arc 140T,Windows 11,3
