timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-08-27T14:24:43.087082,extra_long_programming_code_heavy_17947t.txt,1,17736,232.38024497032166,True,511,2.1989821039446023,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T14:25:33.269374,extra_long_programming_code_heavy_17947t.txt,2,17736,48.175861835479736,True,511,10.606971635402429,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T14:26:22.928013,extra_long_programming_code_heavy_17947t.txt,3,17736,47.65175700187683,True,511,10.72363396757592,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T14:27:13.802947,extra_long_programming_code_heavy_17947t.txt,4,17736,48.86304783821106,True,511,10.457800374875436,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T14:28:07.462853,extra_long_programming_code_heavy_17947t.txt,5,17736,51.648022174835205,True,511,9.893892902039873,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T14:43:46.008055,extra_long_repo_prompt_44396t.txt,1,36029,933.4851388931274,True,511,0.5474109642558576,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T14:45:40.856165,extra_long_repo_prompt_44396t.txt,2,36029,112.83224081993103,True,511,4.52884739580334,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T14:47:37.523731,extra_long_repo_prompt_44396t.txt,3,36029,114.66406297683716,True,511,4.456496540709752,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T14:49:31.360487,extra_long_repo_prompt_44396t.txt,4,36029,111.82528805732727,True,511,4.569628291393586,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
2025-08-27T14:51:23.894901,extra_long_repo_prompt_44396t.txt,5,36029,110.53025794029236,True,511,4.62316843842017,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m1_mba,Apple,MacBook Air,M1,16,M1,MacOS Sequoia,3
