timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-08-27T16:45:28.059405,extra_long_programming_code_heavy_17947t.txt,1,17736,230.86874079704285,True,511,2.213378901950269,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T16:46:21.746076,extra_long_programming_code_heavy_17947t.txt,2,17736,51.673481941223145,True,511,9.88901813470293,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T16:47:15.885944,extra_long_programming_code_heavy_17947t.txt,3,17736,52.13571214675903,True,511,9.8013430517946,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T16:48:13.047088,extra_long_programming_code_heavy_17947t.txt,4,17736,55.15083909034729,True,511,9.265498194195873,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T16:49:12.582552,extra_long_programming_code_heavy_17947t.txt,5,17736,57.52197790145874,True,511,8.883561008201028,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T17:05:57.706850,extra_long_repo_prompt_44396t.txt,1,36029,1000,False,0,0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T17:21:10.981202,extra_long_repo_prompt_44396t.txt,2,36029,911.2455651760101,True,0,0.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T17:21:19.060986,extra_long_repo_prompt_44396t.txt,3,36029,6.062205791473389,True,0,0.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T17:21:21.206674,extra_long_repo_prompt_44396t.txt,4,36029,0.13313078880310059,True,0,0.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T17:21:23.353569,extra_long_repo_prompt_44396t.txt,5,36029,0.13457083702087402,True,0,0.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
