filename,prompt_token_count,iterations,successful_runs,tokens_per_second_mean,tokens_per_second_std,tokens_per_second_min,tokens_per_second_max,tokens_per_second_median,tokens_per_second_95_ci_lower,tokens_per_second_95_ci_upper,tokens_per_second_cv,response_time_mean,response_time_std,response_time_min,response_time_max,response_time_median,response_time_95_ci_lower,response_time_95_ci_upper,response_time_cv,outliers_detected,outlier_threshold,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
extra_long_programming_code_heavy_17947t.txt,17736,5,5,59.17897738462647,21.925354621286996,19.958501085184288,69.21204327187006,68.9285385700716,31.92019703424977,86.43775773500317,37.04922861168394,11.04665265083313,8.137329158613639,7.383108139038086,25.60312509536743,7.413475036621094,0.9298872892362269,21.163418012430032,73.66330250277153,0,2.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,MacOS Sequoia,3
extra_long_repo_prompt_44396t.txt,36029,5,5,23.96278465478838,10.410888495578998,5.3392480328903495,28.640251358775085,28.60607232536732,11.019408018237831,36.906161291338925,43.4460712540712,33.42565975189209,34.815972199568094,17.84202218055725,95.70636105537415,17.863340139389038,-9.859429828891187,76.71074933267536,104.1594166218284,0,2.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,MacOS Sequoia,3
long_architecture_enterprise_1235t.txt,1214,5,5,129.70306704770087,10.35794081739992,111.18073217386568,134.70946023618802,134.25096969607378,116.82551781300884,142.5806162823929,7.985887344969708,3.962405729293823,0.35434246104393646,3.793349027633667,4.596120119094849,3.8063039779663086,3.5218681196977233,4.402943338889923,8.942609244285721,0,2.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,MacOS Sequoia,3
long_non_programming_analysis_1330t.txt,1312,5,5,128.60483039670504,10.368621249935153,110.05853337609786,133.4613432804965,133.1479170568778,115.71400267372611,141.49565811968398,8.062388650528328,3.9982163429260256,0.3604707052376687,3.828824043273926,4.642983913421631,3.839169979095459,3.550059770476379,4.446372915375672,9.015787899407776,0,2.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,MacOS Sequoia,3
long_non_programming_summarize_1707t.txt,1703,5,5,124.2984169909799,12.368458644363024,102.17533743104572,130.0011993918245,129.75481249388923,108.92128383701592,139.67555014494388,9.95061638255665,4.148999977111816,0.4764287383724259,3.9307329654693604,5.001206874847412,3.938196897506714,3.5566781398498413,4.741321814373791,11.482977609078594,0,2.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,MacOS Sequoia,3
long_programming_debug_complex_1366t.txt,1366,5,5,128.19177644095518,10.531881028178326,109.36116109852156,133.40507960120814,132.6546727876398,115.09797537902459,141.2855775028858,8.21572281824902,4.010547637939453,0.3702182285340797,3.8304388523101807,4.672591209411621,3.852107048034668,3.5502724201549176,4.470822855723989,9.231114101023149,0,2.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,MacOS Sequoia,3
long_programming_full_project_2339t.txt,2336,5,5,117.82191573861947,14.876976361655787,91.21341615454531,124.92824555234175,124.30371155688664,99.32605841157763,136.3177730656613,12.626663102864008,4.404683065414429,0.6695151493725942,4.0903480052948,5.602246046066284,4.110898971557617,3.5723058148189755,5.237060316009883,15.200075452184677,0,2.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,MacOS Sequoia,3
medium_architecture_web_app_106t.txt,103,5,5,145.65746880535409,1.5347473632865063,143.1193839819412,147.0998370384036,145.99098002441391,143.74938832083004,147.56554928987813,1.053668840928047,3.5085452079772947,0.03731520029352032,3.4738311767578125,3.5704457759857178,3.500216245651245,3.4621529435829106,3.554937472371679,1.063551930545961,0,2.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,MacOS Sequoia,3
medium_non_programming_explanation_106t.txt,106,5,5,145.33141827395391,0.9958800302318725,143.59321988476844,146.10599605410277,145.59557731789917,144.09328664651557,146.56954990139226,0.6852475824288798,3.516234540939331,0.024291238485814985,3.4974608421325684,3.558663845062256,3.5097219944000244,3.4860343664946916,3.5464347153839704,0.6908310069477276,0,2.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,MacOS Sequoia,3
medium_programming_algorithm_102t.txt,102,5,5,146.1074987854786,1.2629706523093873,143.88781836840218,146.9763875187193,146.67128423485806,144.53730572840263,147.6776918425546,0.8644119314941773,3.4989997863769533,0.02994316974572718,3.4767489433288574,3.551377773284912,3.4907991886138916,3.46177282694158,3.5362267458123267,0.8557636917358002,0,2.0,qwen/qwen3-4b-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-2507,int4,mlx,lmstudio,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,MacOS Sequoia,3
