timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-08-27T14:02:47.943675,extra_long_programming_code_heavy_17947t.txt,1,17736,289.4896411895752,True,511,1.7651754235494959,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:04:06.276584,extra_long_programming_code_heavy_17947t.txt,2,17736,76.3189070224762,True,511,6.6955885498924745,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:05:23.415019,extra_long_programming_code_heavy_17947t.txt,3,17736,75.02778697013855,True,511,6.8108099763542365,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:06:42.931688,extra_long_programming_code_heavy_17947t.txt,4,17736,77.50166487693787,True,511,6.593406745666673,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:08:00.756677,extra_long_programming_code_heavy_17947t.txt,5,17736,75.8124840259552,True,511,6.740314693092681,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:24:45.911901,extra_long_repo_prompt_44396t.txt,1,36029,1000,False,0,0,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:41:28.012105,extra_long_repo_prompt_44396t.txt,2,36029,1000,False,0,0,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:42:26.268195,extra_long_repo_prompt_44396t.txt,3,36029,56.23549699783325,True,0,0.0,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:42:34.487295,extra_long_repo_prompt_44396t.txt,4,36029,6.197019815444946,True,0,0.0,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:42:36.625145,extra_long_repo_prompt_44396t.txt,5,36029,0.13601899147033691,True,0,0.0,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:43:06.712831,long_architecture_enterprise_1235t.txt,1,1214,25.024447917938232,True,511,20.420030910400254,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:43:27.918882,long_architecture_enterprise_1235t.txt,2,1214,19.194756031036377,True,511,26.621854384278397,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:44:10.790844,long_architecture_enterprise_1235t.txt,3,1214,40.86103296279907,True,511,12.505802299839738,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:44:41.228557,long_architecture_enterprise_1235t.txt,4,1214,28.42677879333496,True,511,17.97600789435245,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:45:09.050051,long_architecture_enterprise_1235t.txt,5,1214,25.810540199279785,True,511,19.798113331012686,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:45:47.651309,long_non_programming_analysis_1330t.txt,1,1312,33.5836021900177,True,511,15.215759081135385,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:46:14.908936,long_non_programming_analysis_1330t.txt,2,1312,25.246769189834595,True,511,20.240213555948774,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
2025-08-27T14:46:42.416156,long_non_programming_analysis_1330t.txt,3,1312,25.495300769805908,True,511,20.042909264486003,qwen/qwen3-4b-thinking-2507,http://127.0.0.1:1234/v1/chat/completions,qwen3-4b-thinking-2507,int4,mlx,lmstudio,m2_mba,Apple,MacBook Air,M2,8,M2,MacOS Sequoia,3
