timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,hardware,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-08-08T16:43:38.794105,extra_long_programming_code_heavy_17947t.txt,1,17736,668.5694513320923,True,10322,15.438934548136944,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T16:49:57.786260,extra_long_programming_code_heavy_17947t.txt,2,17736,376.99081540107727,True,7058,18.72194152128363,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T16:59:03.079072,extra_long_programming_code_heavy_17947t.txt,3,17736,543.2915511131287,True,9747,17.940643435425702,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T17:12:43.707417,extra_long_programming_code_heavy_17947t.txt,4,17736,818.6271991729736,True,13805,16.863598001564863,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T17:28:35.225500,extra_long_programming_code_heavy_17947t.txt,5,17736,949.517359972,True,15577,16.405176626217074,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T17:38:58.272563,extra_long_repo_prompt_44396t.txt,1,36029,618.0358521938324,True,2433,3.936664825128861,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T17:41:52.798107,extra_long_repo_prompt_44396t.txt,2,36029,172.5247871875763,True,1824,10.572393855596353,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T17:46:07.390913,extra_long_repo_prompt_44396t.txt,3,36029,252.59086179733276,True,2657,10.51898703339416,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T17:56:19.198272,extra_long_repo_prompt_44396t.txt,4,36029,609.8063745498657,True,6258,10.262273831787018,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:02:39.542677,extra_long_repo_prompt_44396t.txt,5,36029,378.34367299079895,True,3941,10.416455411680277,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:05:23.004184,long_architecture_enterprise_1235t.txt,1,1214,158.460346698761,True,5967,37.65610844802384,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:07:34.450161,long_architecture_enterprise_1235t.txt,2,1214,129.44527435302734,True,5102,39.41433957709155,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:09:34.456429,long_architecture_enterprise_1235t.txt,3,1214,118.00555491447447,True,4708,39.89642693864846,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:10:54.280729,long_architecture_enterprise_1235t.txt,4,1214,77.82386922836304,True,3241,41.64532080112527,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:12:20.554928,long_architecture_enterprise_1235t.txt,5,1214,84.27329087257385,True,3489,41.40101761631182,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:14:09.279280,long_non_programming_analysis_1330t.txt,1,1312,103.72227263450624,True,4053,39.07550323624178,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:15:26.884118,long_non_programming_analysis_1330t.txt,2,1312,75.60402226448059,True,3144,41.585089071075494,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:16:57.250912,long_non_programming_analysis_1330t.txt,3,1312,88.36609292030334,True,3621,40.977255871952494,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:18:29.487478,long_non_programming_analysis_1330t.txt,4,1312,90.23565649986269,True,3689,40.88184364243656,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:20:02.586757,long_non_programming_analysis_1330t.txt,5,1312,91.09860372543336,True,3722,40.8568281816692,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:20:21.780068,long_non_programming_summarize_1707t.txt,1,1703,14.190729141235352,True,425,29.94913057462545,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:20:38.792422,long_non_programming_summarize_1707t.txt,2,1703,15.011549949645996,True,656,43.69968472279372,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:21:02.892038,long_non_programming_summarize_1707t.txt,3,1703,22.09912061691284,True,959,43.39539190831243,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:21:16.402373,long_non_programming_summarize_1707t.txt,4,1703,11.509953022003174,True,505,43.87507047462394,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
2025-08-08T18:21:34.520924,long_non_programming_summarize_1707t.txt,5,1703,16.1176335811615,True,704,43.678868641290144,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b,int8,linux_x86_64,vulkan,lmstudio,fw_desktop_ai395,Framework,Framework Desktop,AMD Ryzen AI 9 HX 395,8,AMD Radeon 890M,Linux,3
