timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-08-09T16:23:32.917116,extra_long_programming_code_heavy_17947t.txt,1,17736,114.99784135818481,True,511,4.443561670069821,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:23:59.527173,extra_long_programming_code_heavy_17947t.txt,2,17736,24.60880708694458,True,511,20.764923638703916,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:24:26.137810,extra_long_programming_code_heavy_17947t.txt,3,17736,24.609501838684082,True,511,20.7643374233911,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:24:52.750621,extra_long_programming_code_heavy_17947t.txt,4,17736,24.61198854446411,True,511,20.76223947028195,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:25:19.379438,extra_long_programming_code_heavy_17947t.txt,5,17736,24.62773370742798,True,511,20.748965620246135,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:33:07.627755,extra_long_repo_prompt_44396t.txt,1,36029,463.2366485595703,True,511,1.103107885761952,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:33:57.156427,extra_long_repo_prompt_44396t.txt,2,36029,47.52763319015503,True,511,10.751639955550102,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:34:46.710702,extra_long_repo_prompt_44396t.txt,3,36029,47.553120136260986,True,511,10.745877421623568,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:35:36.187516,extra_long_repo_prompt_44396t.txt,4,36029,47.47576403617859,True,511,10.763386548357513,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:36:25.630692,extra_long_repo_prompt_44396t.txt,5,36029,47.44186353683472,True,511,10.771077733977512,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:36:45.231290,long_architecture_enterprise_1235t.txt,1,1214,14.597987174987793,True,511,35.00482593076585,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:36:58.547064,long_architecture_enterprise_1235t.txt,2,1214,11.314892768859863,True,511,45.16171831573536,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:37:11.873706,long_architecture_enterprise_1235t.txt,3,1214,11.325882196426392,True,511,45.11789820321756,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-08-09T16:37:25.179731,long_architecture_enterprise_1235t.txt,4,1214,11.305448055267334,True,490,43.34193546373454,qwen3-coder-30b-a3b-instruct@q8_0,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct@q8_0,int8,vulkan,lmstudio,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
