timestamp,filename,iteration,prompt_token_count,response_time,success,response_token_count,tokens_per_second,model,llm_url,base_model,quantization,backend,runtime,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,schema_version
2025-11-08T11:43:40.599861,extra_long_programming_code_heavy_17947t.txt,1,17736,109.31396102905273,True,512,4.6837567240283615,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:44:14.233437,extra_long_programming_code_heavy_17947t.txt,2,17736,31.63258981704712,True,512,16.18583881247934,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:44:47.874155,extra_long_programming_code_heavy_17947t.txt,3,17736,31.63951301574707,True,512,16.182297108845393,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:45:21.449394,extra_long_programming_code_heavy_17947t.txt,4,17736,31.57423496246338,True,512,16.21575314837191,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:45:55.003749,extra_long_programming_code_heavy_17947t.txt,5,17736,31.55332112312317,True,512,16.226501102756878,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:52:49.575277,extra_long_repo_prompt_44396t.txt,1,36029,409.55868697166443,True,512,1.2501260900746638,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:54:05.240459,extra_long_repo_prompt_44396t.txt,2,36029,73.66387414932251,True,512,6.950489719860992,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:55:20.783432,extra_long_repo_prompt_44396t.txt,3,36029,73.54219675064087,True,512,6.961989478449164,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:56:36.291632,extra_long_repo_prompt_44396t.txt,4,36029,73.5072991847992,True,512,6.96529468063871,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:57:51.903835,extra_long_repo_prompt_44396t.txt,5,36029,73.61097049713135,True,512,6.955484984672942,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:58:07.505871,long_architecture_enterprise_1235t.txt,1,1214,10.600656747817993,True,485,45.75188231614338,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:58:17.989309,long_architecture_enterprise_1235t.txt,2,1214,8.48237657546997,True,496,58.47417826678119,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:58:28.483906,long_architecture_enterprise_1235t.txt,3,1214,8.49384880065918,True,483,56.8646807042899,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:58:39.002459,long_architecture_enterprise_1235t.txt,4,1214,8.517821788787842,True,512,60.10926416351591,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
2025-11-08T11:58:49.490358,long_architecture_enterprise_1235t.txt,5,1214,8.48714280128479,True,478,56.32048513754712,qwen3-coder-30b-a3b-instruct,http://127.0.0.1:1234/v1/chat/completions,qwen3-coder-30b-a3b-instruct,int4,vulcan,lmstudio,beelink_desktop_gtr9_ai395,Beelink,GTR9,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,3
