timestamp,model_name,model_size_gb,params_b,backend,threads,test_type,prompt_size,tokens_per_second,std_dev,quantization,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,model_path,rpc_nodes
2025-11-18T15:38:47.919818,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp128,128,328.21,3.95,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T15:40:36.987340,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp128,128,273.81,22.54,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T15:42:24.535311,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp256,256,259.92,13.0,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T15:44:14.055854,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp256,256,271.14,13.82,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T15:46:10.087196,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp512,512,261.57,2.94,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T15:48:08.197704,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp512,512,257.72,5.56,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T15:50:18.296764,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp1024,1024,251.42,1.11,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T15:52:30.156880,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp1024,1024,254.02,1.27,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T15:55:06.349048,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp2048,2048,245.9,0.65,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T15:57:44.641709,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp2048,2048,245.13,1.19,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T16:01:20.024067,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp4096,4096,228.79,1.18,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T16:04:58.199362,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp4096,4096,228.15,1.44,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T16:10:46.510972,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp8192,8192,205.19,1.3,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T16:16:37.436710,gemma-3-4b-it,2.31,3.88,"Metal,BLAS",12,pp8192,8192,204.3,0.28,Q4_K_M,mba_m4,Apple,MacBook Air,M4,128,M4,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
