timestamp,model_name,model_size_gb,params_b,backend,threads,test_type,prompt_size,tokens_per_second,std_dev,quantization,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,model_path,rpc_nodes
2025-11-18T09:22:08.612693,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,128,64.91,0.04,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:22:50.606452,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,128,65.02,0.03,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:23:32.257603,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,256,64.9,0.02,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:24:14.876401,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,256,64.95,0.03,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:24:56.598375,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,512,64.95,0.03,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:25:39.395475,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,512,64.81,0.03,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:26:22.608857,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,1024,64.93,0.02,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:27:06.797438,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,1024,64.97,0.02,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:27:53.225285,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,2048,64.81,0.02,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:28:40.494444,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,2048,65.12,0.02,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:29:33.347505,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,4096,64.82,0.01,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:30:27.417315,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,4096,64.75,0.02,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:31:34.007050,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,8192,64.77,0.02,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:32:41.516785,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,tg512,8192,64.95,0.02,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
