timestamp,model_name,model_size_gb,params_b,backend,threads,test_type,prompt_size,tokens_per_second,std_dev,quantization,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,model_path,rpc_nodes
2025-11-20T17:33:55.039016,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp128,128,41.46,0.36,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T17:47:59.064675,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp128,128,41.2,0.21,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T18:02:11.626675,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp256,256,52.46,0.2,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T18:16:27.188584,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp256,256,52.06,0.37,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T18:31:00.432464,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp512,512,66.11,0.15,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T18:45:35.775150,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp512,512,66.05,0.29,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T19:00:54.293709,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp1024,1024,65.33,0.35,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T19:16:12.761073,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp1024,1024,65.58,0.23,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T19:33:11.972244,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp2048,2048,63.49,0.17,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T19:50:10.787130,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp2048,2048,63.45,0.14,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T20:10:49.160588,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp4096,4096,59.52,0.09,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T20:31:28.844812,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp4096,4096,59.58,0.07,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T21:00:43.735964,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp8192,8192,53.04,0.17,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T21:30:01.539238,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp8192,8192,53.01,0.1,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T22:22:03.132499,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp16384,16384,42.85,0.04,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
2025-11-20T23:14:10.062037,Kimi-K2-Thinking-UD-Q3_K_XL,423.85,1026.41,"ROCm,RPC",12,pp16384,16384,42.76,0.04,Q3_K_XL,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/unsloth/Kimi-K2-Thinking-GGUF/Kimi-K2-Thinking-UD-Q3_K_XL-00001-of-00010.gguf,3
