timestamp,model_name,model_size_gb,params_b,backend,threads,test_type,prompt_size,tokens_per_second,std_dev,quantization,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,model_path,rpc_nodes
2025-12-08T11:59:39.254489,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp128,128,872.08,37.61,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:00:32.827418,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp128,128,866.71,14.29,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:01:26.868771,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp128,128,870.81,25.82,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:02:20.975424,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp128,128,859.17,14.36,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:03:15.027366,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp128,128,885.1,24.27,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:04:08.652659,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp256,256,969.88,24.05,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:05:03.260274,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp256,256,983.89,16.65,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:05:57.897781,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp256,256,992.68,19.22,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:06:52.814720,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp256,256,962.49,14.79,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:07:46.759156,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp256,256,987.65,26.02,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:08:41.148746,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp512,512,990.52,1.93,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:09:36.630969,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp512,512,989.32,1.65,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:10:32.081166,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp512,512,990.75,2.61,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:11:27.470977,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp512,512,989.13,3.66,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:12:22.470389,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp512,512,991.3,2.23,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:13:20.423259,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp1024,1024,951.18,7.45,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:14:18.900184,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp1024,1024,948.76,7.0,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:15:17.919560,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp1024,1024,945.95,2.22,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:16:16.427412,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp1024,1024,944.76,0.59,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:17:14.908859,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,pp1024,1024,948.05,6.93,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
