timestamp,model_name,model_size_gb,params_b,backend,threads,test_type,prompt_size,tokens_per_second,std_dev,quantization,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,model_path,rpc_nodes
2025-12-08T11:59:39.254489,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,128,63.26,0.8,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:00:32.827418,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,128,63.08,0.78,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:01:26.868771,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,128,62.38,1.03,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:02:20.975424,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,128,62.46,0.6,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:03:15.027366,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,128,62.67,0.44,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:04:08.652659,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,256,63.0,1.01,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:05:03.260274,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,256,62.27,0.64,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:05:57.897781,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,256,62.44,0.64,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:06:52.814720,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,256,62.49,0.31,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:07:46.759156,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,256,63.68,1.11,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:08:41.148746,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,512,63.6,0.76,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:09:36.630969,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,512,63.72,0.59,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:10:32.081166,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,512,63.74,0.46,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:11:27.470977,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,512,63.86,0.87,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:12:22.470389,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,512,64.36,0.8,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:13:20.423259,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,1024,63.39,1.07,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:14:18.900184,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,1024,63.74,0.39,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:15:17.919560,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,1024,63.52,0.68,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:16:16.427412,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,1024,63.83,0.4,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:17:14.908859,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,1024,63.92,0.96,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:18:19.530545,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,2048,63.53,0.49,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:19:25.579577,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,2048,63.06,0.68,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:20:31.672398,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,2048,63.21,0.54,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
2025-12-08T12:21:37.755653,Qwen3-4B-Instruct-2507-GGUF,2.32,4.02,"Metal,BLAS,RPC",12,tg512,2048,63.04,0.93,Q4_K_M,ms_m3ultra,Apple,Mac Studio,M3 Ultra,512,M3 Ultra,macOS Tahoe,/Users/alex/Code/models/lmstudio-community/Qwen3-4B-Instruct-2507-GGUF/Qwen3-4B-Instruct-2507-Q4_K_M.gguf,1
