timestamp,model_name,model_size_gb,params_b,backend,threads,test_type,prompt_size,tokens_per_second,std_dev,quantization,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,model_path
2025-11-17T18:27:13.470619,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,128,49.18,0.08,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:28:09.011710,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,128,48.87,0.17,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:29:04.691614,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,128,48.74,0.04,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:30:00.352302,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,128,48.75,0.04,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:30:56.192576,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,128,48.59,0.13,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:31:51.700848,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,256,48.66,0.13,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:32:48.101091,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,256,48.73,0.01,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:33:44.482130,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,256,48.74,0.07,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:34:41.008778,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,256,48.62,0.11,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:35:37.338665,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,256,48.82,0.03,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:36:34.350729,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,512,48.72,0.07,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:37:32.297776,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,512,48.79,0.03,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:38:30.164493,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,512,48.85,0.02,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T18:39:28.112877,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,tg512,512,48.78,0.03,Q4_K_M,mbp_m5,Apple,MacBook Pro,M5,32,M5,macOS Tahoe,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
