timestamp,model_name,model_size_gb,params_b,backend,threads,test_type,prompt_size,tokens_per_second,std_dev,quantization,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,model_path,rpc_nodes
2025-11-18T23:38:21.952014,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp128,128,52.95,0.22,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-18T23:50:08.577101,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp128,128,52.61,0.29,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T00:02:00.818803,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp256,256,65.54,0.4,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T00:13:56.139020,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp256,256,65.51,0.28,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T00:26:01.076879,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp512,512,85.42,0.14,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T00:38:09.502437,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp512,512,85.03,0.28,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T00:50:54.263303,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp1024,1024,85.19,0.28,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T01:03:39.904341,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp1024,1024,85.33,0.11,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T01:17:36.040318,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp2048,2048,83.92,0.2,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T01:31:36.659937,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp2048,2048,83.89,0.3,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T01:48:15.348888,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp4096,4096,79.89,0.16,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T02:04:52.968290,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,pp4096,4096,80.28,0.14,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
