timestamp,model_name,model_size_gb,params_b,backend,threads,test_type,prompt_size,tokens_per_second,std_dev,quantization,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,model_path,rpc_nodes
2025-11-18T23:38:21.952014,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,128,7.07,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-18T23:50:08.577101,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,128,7.06,0.0,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T00:02:00.818803,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,256,7.11,0.0,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T00:13:56.139020,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,256,7.07,0.0,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T00:26:01.076879,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,512,7.1,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T00:38:09.502437,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,512,7.06,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T00:50:54.263303,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,1024,7.03,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T01:03:39.904341,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,1024,7.03,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T01:17:36.040318,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,2048,7.09,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T01:31:36.659937,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,2048,7.04,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T01:48:15.348888,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,4096,7.07,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T02:04:52.968290,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,4096,7.09,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T02:27:54.074221,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,8192,7.07,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T02:50:59.080833,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,8192,7.06,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T03:31:21.887830,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,16384,7.09,0.0,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
2025-11-19T04:11:44.120163,Qwen3-Coder-480B-A35B-Instruct-Q4_K_M,270.86,480.15,"ROCm,RPC",12,tg512,16384,7.01,0.01,Q4_K_M,fw_desktop_ai395,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/home/alex/.lmstudio/models/lmstudio-community/Qwen3-Coder-480B-A35B-Instruct-GGUF/Qwen3-Coder-480B-A35B-Instruct-Q4_K_M-00001-of-00008.gguf,3
